Model Number,Name,Coast Appliances Price,Home Depot Price,Lowes Price,Trail Appliaces Price
RZ11T7474AP                   ,Samsung - 11.4 cu. Ft  Upright Freezer in Panel Ready                                               ,1894.98,0,0,0
JCBP240DMWW                   ,GE - 5 cu. ft  Electric Range in White                                                              ,844.98,744,0,0
WF45B6300AC                   ,Samsung 5.2 Cu.Ft. Front Load Washer with SuperSpeed and Built-in Wifi - Champagne                  ,1144.99,1145,0,0
BGC132-BI-N                   ,DCS - 2 Burner Natural Gas BBQ in Stainless                                                         ,1452.55,0,0,0
NX60T8711SG                   ,Samsung - 6 cu. ft  Gas Range in Black Stainless                                                    ,1994.99,0,0,0
JB36NXFXRE                    ,Jennair - 35.8 Inch 20.9 cu. ft Built In / Integrated Refrigerator in Panel Ready                   ,12749,0,0,0
EFLS527UTT                    ,Electrolux - 5.0 cu. Ft  Front Load Washer in Silver                                                ,1149.96,0,0,0
HMDW36WS                      ,Thermador - 35.9375 Inch 600 CFM Under Cabinet Range Vent in Stainless                              ,3329,0,0,0
DW80R2031US                   ,Samsung - 55 dBA Built In Dishwasher in Stainless                                                   ,644.99,645,0,0
CAD1-30E                      ,"DCS - 30"" Cad Grill Cart                                                                            ",2198.98,0,0,0
DUFM101A2WDD                  ,Danby - 10.1 cu. Ft  Upright Freezer in White                                                       ,954.98,0,0,0
CP55IQ429SB                   ,Best - 40.38 Inch 800 CFM Blower & Insert Vent in Stainless                                         ,2659.98,0,0,0
EFDC317TIW                    ,Electrolux - 8 cu. Ft  Electric Dryer in White                                                      ,849.96,0,0,0
KSM150PSPT                    ,KitchenAid - 5 Quarts Tilt-Head Mixer in Green                                                      ,624.98,0,0,0
FFEC3025UB                    ,Frigidaire - 30.625 inch wide Electric Cooktop in Black                                             ,694.98,694,0,0
MVW6230HC                     ,Maytag - 5.4 cu. Ft  Top Load Washer in Grey                                                        ,1045.98,0,0,0
CP57IQT602SB                  ,Best - 58.38 Inch 1500 CFM Blower & Insert Vent in Stainless                                        ,3769.98,0,0,0
KUIX335HPS                    ,KitchenAid - 14.875 Inch 15 cu. ft Ice Maker Refrigerator in Stainless                              ,2195.98,2195,2195,0
ELFW7637BT                    ,Electrolux - 5.2 cu. Ft  Front Load Washer in Titanium                                              ,1294.96,0,0,0
NIT8060SUC                    ,Bosch - 31 inch wide Induction Cooktop in Black                                                     ,2894.99,2944,0,0
KSM150PSMY                    ,KitchenAid - 5 Quarts Tilt-Head Mixer in Yellow                                                     ,624.98,0,0,0
FFET1222UW                    ,Frigidaire - 23.75 Inch 11.6 cu. ft Top Mount Refrigerator in White                                 ,874.99,0,0,0
CVA 7845 GRGR                 ,Miele -  Built-In Coffee Maker in Grey                                                              ,7799,0,0,0
WKE100HWA                     ,LG - 5.2 cu. ft. Washer and 7.4 cu. ft. Electric Dryer WashTower in White                           ,2494.99,0,2495,0
DVE45N6300V                   ,Samsung - 7.5 cu. Ft  Electric Dryer in Black Stainless                                             ,1349.96,0,0,0
WFW560CHW                     ,Whirlpool - 5.0 cu. Ft  Front Load Washer in White                                                  ,1074.99,1095,0,0
PERFEKT VISOR-30              ,AEG - 30 Inch 250 CFM Under Cabinet Range Vent in Stainless                                         ,369.98,0,0,0
NGM8648UC                     ,Bosch - 37 inch wide Gas Cooktop in Black                                                           ,1994.99,0,0,0
JS42NXFXDE                    ,Jennair - 41.8 Inch 25.6 cu. ft Built In / Integrated Refrigerator in Panel Ready                   ,13749,0,0,0
DVE45T6100C                   ,Samsung - 7.5 cu. Ft  Electric Dryer in Champagne                                                   ,1044.99,0,0,0
BXB60940                      ,Cyclone - 38.3333333333333 Inch 900 CFM Blower and Insert Vent in Stainless                         ,1697.98,0,0,0
UVC9300SLSS                   ,GE - 28.35 Inch 610 CFM Blower & Insert Vent in Stainless                                           ,694.98,0,0,0
41F                           ,Broan - 41F Non-Duct Charcoal Replacement Filter for use with Select Broan Range Hoods              ,27.99,21.98,0,0
RW464761                      ,Gaggenau - 23.75 Inch 13.9 cu. ft Wine Fridge Refrigerator in Panel Ready                           ,11099,0,0,0
GTW580BMRWS                   ,GE - 5 cu. Ft  Top Load Washer in White                                                             ,744.98,744,0,0
SPO30TM/S/TH                  ,Wolf - 1.6 cu. ft Speed Wall Oven in Stainless                                                      ,4629,0,0,0
NE63B8411SS                   ,Samsung - 6.3 cu. ft  Induction Range in Stainless                                                  ,2294.99,1995,0,0
MACP215-SS01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,4814.98,0,0,0
BFGC-30BGD-N                  ,DCS - 3 Burner Natural Gas BBQ in Stainless                                                         ,2725.55,0,0,0
FFFU20F2VW                    ,Frigidaire - 20 cu. Ft  Upright Freezer in White                                                    ,894.96,0,0,0
WAT28401UC                    ,Bosch - 2.2 cu. Ft  Front Load Washer in White                                                      ,2049.96,0,0,0
WF45B6300AP                   ,Samsung 5.2 Cu.Ft. Front Load Washer with SuperSpeed and Built-in Wifi - Platinum                   ,1044.99,1045,0,0
MOCP215-SS01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,5524.98,0,0,0
GCRE306CAF                    ,Frigidaire Gallery - 5.7 cu. ft  Electric Range in Stainless                                        ,1294.98,1294,0,0
L71400                        ,AEG - 7 kg Front Load Washer in White                                                               ,1849,0,0,0
HMIB42WS                      ,Thermador - 42 Inch 600 CFM Island Range Vent in Stainless                                          ,5239,0,0,0
WRT541SZDM                    ,Whirlpool - 32.75 Inch 21.31 cu. ft Top Mount Refrigerator in Stainless                             ,1895.98,0,0,0
BU330SS                       ,Broan - 30 Inch 260 CFM Under Cabinet Range Vent in Stainless                                       ,159.98,0,0,0
ELFE763CAT                    ,Electrolux - 8 cu. Ft  Electric Dryer in Titanium                                                   ,1194.99,1195,0,0
HEZ9TK30UC                    ,Bosch -  Range Legs in Stainless                                                                    ,269.98,0,0,0
WA45T3200AW                   ,Samsung - 5.2 cu. Ft  Top Load Washer in White                                                      ,794.98,0,0,0
DW80R5061US                   ,Samsung - 48 dBA Built In Dishwasher in Stainless                                                   ,794.99,795,0,0
CSS-30                        ,"DCS - 30"" CSS Grill Cart                                                                            ",1329.05,0,0,0
COMBI-110                     ,Porter & Charles - 2.7 cu. Ft  Front Load Dryer in White                                            ,2394.98,0,0,0
WD100CW                       ,LG - 1.1 cu. Ft  Compact Washer in White                                                            ,845.98,0,0,0
HEZ9LLUC                      ,Bosch -  Range Legs in Stainless                                                                    ,109.98,0,0,0
WUI75X15HZ                    ,Whirlpool - 14.875 Inch 15 cu. ft Ice Maker Refrigerator in Stainless                               ,1845.98,1845,1845,0
RB492705                      ,Gaggenau - 35.75 Inch 19.5 cu. ft Built In / Integrated Refrigerator in Panel Ready                 ,14909,0,0,0
FFET1222UV                    ,Frigidaire - 23.75 Inch 11.6 cu. ft Top Mount Refrigerator in Stainless                             ,894.99,894,0,0
BU230WH                       ,Broan - 30 Inch 160 CFM Under Cabinet Range Vent in White                                           ,79.99,0,0,0
JF36NXFXDE                    ,Jennair - 35.8 Inch 20.8 cu. ft Built In / Integrated Refrigerator in Panel Ready                   ,13349,0,0,0
WRT312CZJZ                    ,Whirlpool - 24.375 Inch 11.6 cu. ft Top Mount Refrigerator in Stainless                             ,945.98,0,0,0
BU330WH                       ,Broan - 30 Inch 260 CFM Under Cabinet Range Vent in White                                           ,157.98,0,0,0
NETP669SUC                    ,Bosch - 37 inch wide Induction Cooktop in Black                                                     ,2294.99,0,0,0
WZF34X16DW                    ,Whirlpool - 16 cu. Ft  Upright Freezer in White                                                     ,1395.98,0,0,0
HBL8453UC                     ,Bosch - 4.6 cu. ft Single Wall Oven in Stainless                                                    ,3994.99,3894,3995,0
KP26M1XER                     ,KitchenAid - 6 Quarts Bowl Lift Mixer in Red                                                        ,744.98,0,0,0
JGRP648HM                     ,Jennair - 6.3 cu. ft  Gas Range in Black                                                            ,14999,0,0,0
MLCP215-SS01B                 ,Marvel - 14.875 Inch Ice Maker in Stainless                                                         ,4704.98,0,0,0
EVL430S2                      ,Elica - 30 Inch 400 CFM Wall Mount and Chimney Range Vent in Stainless                              ,849.96,0,0,0
WVW53UC6FS                    ,Whirlpool - 36 Inch 400 CFM Wall Mount and Chimney Range Vent in Stainless                          ,994.96,0,0,0
